ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure_Days,Total_Spend,Total_Purchases,Total_Campaigns_Accepted,Total_Children,Avg_Spend_Per_Purchase,Education_Encoded,Marital_Divorced,Marital_Married,Marital_Single,Marital_Together,Marital_Widow,Cluster
5524,1957,Graduation,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,663,1617,25,1,0,64.68,2,False,False,True,False,False,2
2174,1954,Graduation,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,113,27,6,0,2,4.5,2,False,False,True,False,False,0
4141,1965,Graduation,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,312,776,21,0,0,36.95238095238095,2,False,False,False,True,False,2
6182,1984,Graduation,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,139,53,8,0,1,6.625,2,False,False,False,True,False,0
5324,1981,PhD,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,161,422,19,0,1,22.210526315789473,4,False,True,False,False,False,1
7446,1967,Master,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,293,716,22,0,1,32.54545454545455,3,False,False,False,True,False,1
965,1971,Graduation,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,593,590,21,0,1,28.095238095238095,2,True,False,False,False,False,1
6177,1985,PhD,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,417,169,10,0,1,16.9,4,False,True,False,False,False,0
4855,1974,PhD,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,388,46,6,1,1,7.666666666666667,4,False,False,False,True,False,0
5899,1950,PhD,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,108,49,2,1,2,24.5,4,False,False,False,True,False,0
1994,1983,Graduation,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,226,19,4,0,1,4.75,2,False,True,False,False,False,0
387,1976,Basic,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,593,61,6,0,0,10.166666666666666,0,False,True,False,False,False,0
2125,1959,Graduation,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,226,1102,16,0,0,68.875,2,True,False,False,False,False,2
8180,1952,Master,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,226,310,15,0,2,20.666666666666668,3,True,False,False,False,False,1
2569,1987,Graduation,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,627,46,5,0,0,9.2,2,False,True,False,False,False,0
2114,1946,PhD,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,582,1315,26,3,0,50.57692307692308,4,False,False,True,False,False,3
